
Month,"2nd quarter 2020","1st quarter 2020","4th quarter 2019","3rd quarter 2019","2nd quarter 2019","1st quarter 2019","4th quarter 2018","3rd quarter 2018","2nd quarter 2018","1st quarter 2018","4th quarter 2017","3rd quarter 2017","2nd quarter 2017","1st quarter 2017","4th quarter 2016","3rd quarter 2016","2nd quarter 2016","1st quarter 2016","4th quarter 2015","3rd quarter 2015","2nd quarter 2015","1st quarter 2015","4th quarter 2014","3rd quarter 2014","2nd quarter 2014","1st quarter 2014","4th quarter 2013","3rd quarter 2013","2nd quarter 2013","1st quarter 2013","4th quarter 2012","3rd quarter 2012","2nd quarter 2012","1st quarter 2012","4th quarter 2011","3rd quarter 2011","2nd quarter 2011","1st quarter 2011","4th quarter 2010","3rd quarter 2010","2nd quarter 2010","1st quarter 2010","4th quarter 2009","3rd quarter 2009","2nd quarter 2009","1st quarter 2009","4th quarter 2008","3rd quarter 2008","2nd quarter 2008","1st quarter 2008","4th quarter 2007","3rd quarter 2007","2nd quarter 2007","1st quarter 2007","4th quarter 2006","3rd quarter 2006","2nd quarter 2006","1st quarter 2006","4th quarter 2005","3rd quarter 2005","2nd quarter 2005","1st quarter 2005","4th quarter 2004","3rd quarter 2004","2nd quarter 2004","1st quarter 2004","4th quarter 2003","3rd quarter 2003","2nd quarter 2003","1st quarter 2003","4th quarter 2002","3rd quarter 2002","2nd quarter 2002","1st quarter 2002","4th quarter 2001","3rd quarter 2001","2nd quarter 2001","1st quarter 2001","4th quarter 2000","3rd quarter 2000","2nd quarter 2000","1st quarter 2000","4th quarter 1999","3rd quarter 1999","2nd quarter 1999","1st quarter 1999","4th quarter 1998","3rd quarter 1998","2nd quarter 1998","1st quarter 1998","4th quarter 1997","3rd quarter 1997","2nd quarter 1997","1st quarter 1997","4th quarter 1996","3rd quarter 1996","2nd quarter 1996","1st quarter 1996","4th quarter 1995","3rd quarter 1995","2nd quarter 1995","1st quarter 1995"
"Residence",
"TOTAL",443259,444300,442941,436995,437594,431886,427401,421551,421878,416406,412592,406372,406179,400392,397947,392872,392304,387274,385347,381390,381086,376188,375023,371823,371653,367454,365580,362659,362645,358561,358792,356275,356397,352346,350826,348715,347779,342333,340619,338177,337345,333485,332617,330746,331453,330702,332076,329998,327389,322781,318925,314370,311449,306297,303708,300193,298448,293930,290934,288133,286625,283209,282340,280247,279372,275654,275244,273247,272916,270711,270202,268131,267841,265981,264382,261539,259243,255046,252310,247135,244163,239224,238326,234347,231168,225861,226121,223014,220345,214864,216318,213317,209811,205011,204796,204228,204097,202100,202126,200743,197089,194340
"Residents",240095,240306,239412,235875,236841,234402,232565,229022,230043,227953,226242,222513,223063,220394,219122,215944,216145,214092,213547,211033,211768,209852,209149,206893,207564,205258,204226,202182,202585,200491,200749,198480,198971,196563,195608,193503,193677,190919,189877,187990,188178,186292,186098,184131,184943,184156,184482,182657,182705,180937,179507,177122,177099,175296,174930,173032,173834,172135,170801,169035,169610,168297,169904,168655,169367,168078,168609,167203,168253,167502,167264,165686,166559,166058,165192,163272,163372,161938,161191,158480,158453,156513,157235,154467,153871,151526,152866,150745,150508,147622,149827,147790,146369,143121,143202,143627,145245,144965,145292,144140,141844,140824
"Luxembourgish residents",119005,118164,117518,115647,115959,115195,114440,112338,112524,111840,110952,109017,109525,109030,108859,107317,107533,107079,107282,106095,106548,106363,106229,105136,105565,105024,104744,103919,104373,104250,104408,103253,103509,103124,102818,101672,101890,101161,"…","…","…","…","…","…","…","…","…","…","…","…",95493,94565,94738,94563,94756,93940,94502,94427,94000,93171,93581,93569,"…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…"
"Foreign residents (from EU)",102678,103462,103458,102404,103339,102184,101462,100402,101398,100278,99741,98496,98844,97215,96427,95075,95334,94087,93540,92549,92952,91471,91070,90080,90390,88850,88226,87237,87390,85733,85933,84943,85242,83355,82774,81900,81911,80089,"…","…","…","…","…","…","…","…","…","…","…","…",74935,73648,73567,72014,71341,70505,70856,69386,68584,67805,68061,66898,"…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…"
"Foreign residents (from outside EU)",18413,18678,18436,17824,17543,17023,16663,16283,16121,15835,15548,15000,14694,14150,13836,13552,13278,12926,12725,12389,12268,12018,11851,11676,11609,11384,11256,11027,10823,10509,10409,10285,10220,10084,10016,9932,9877,9670,"…","…","…","…","…","…","…","…","…","…","…","…",9079,8908,8793,8719,8833,8587,8475,8321,8217,8059,7967,7831,"…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…","…"
"Non-residents",203164,203995,203529,201120,200752,197484,194836,192529,191835,188453,186350,183859,183116,179998,178825,176929,176158,173182,171800,170358,169318,166337,165873,164930,164090,162196,161354,160477,160060,158069,158043,157794,157427,155782,155217,155212,154103,151414,150742,150187,149167,147193,146519,146615,146510,146547,147595,147341,144683,141844,139418,137248,134351,131001,128778,127161,124615,121795,120132,119099,117015,114911,112436,111592,110005,107576,106634,106043,104662,103209,102939,102446,101282,99923,99191,98268,95872,93108,91118,88655,85710,82711,81091,79880,77296,74335,73255,72269,69838,67242,66491,65527,63441,61890,61595,60601,58853,57135,56834,56602,55246,53516
"Belgium",47748,48052,47971,47436,47379,47115,46652,46143,45976,45571,45110,44474,44399,43913,43749,43352,43155,42765,42575,42201,41916,41511,41548,41243,41121,40787,40574,40232,40184,39839,39768,39510,39407,39135,39056,38890,38732,38304,"…","…","…","…","…","…","…","…","…","…","…","…",36031,35336,34736,34135,33664,33149,32720,32241,31941,31561,31170,30889,30402,30075,29800,29398,29127,28857,28614,28419,28426,28053,27830,27519,27353,26856,26306,25720,25328,24528,23828,23222,22937,22370,21839,21282,21058,20651,20144,19682,19475,19091,18754,18506,18388,18060,17733,17324,17252,17072,16786,16388
"Germany",48650,48457,48242,47680,47302,46708,46368,45994,45714,45135,44785,44480,44179,43564,43391,43092,42881,42366,42255,42038,41867,41340,41187,40933,40659,40272,40245,40030,39793,39322,39393,39345,39148,38699,38710,38602,38201,37509,"…","…","…","…","…","…","…","…","…","…","…","…",32827,32043,31099,29932,29370,28737,27948,26895,26503,26047,25257,24272,24157,23787,23249,22411,22118,21719,21115,20464,20350,20206,19836,19423,19241,18964,18409,17686,17240,16844,16303,15693,15311,15053,14559,13972,13618,13303,12784,12270,12086,11926,11594,11125,11092,11065,10797,10417,10253,10177,9955,9704
"France",106766,107486,107316,106004,106072,103661,101816,100392,100145,97747,96455,94906,94538,92521,91684,90485,90122,88050,86970,86118,85535,83486,83139,82754,82310,81138,80535,80215,80084,78908,78881,78939,78872,77948,77452,77720,77170,75601,"…","…","…","…","…","…","…","…","…","…","…","…",70559,69870,68516,66933,65744,65274,63946,62659,61688,61491,60588,59750,57878,57730,56956,55768,55390,55467,54934,54326,54163,54188,53617,52982,52597,52447,51156,49701,48549,47283,45578,43796,42843,42457,40899,39081,38580,38315,36909,35289,34930,34510,33093,32259,32115,31476,30323,29393,29330,29354,28505,27424
