Month,Total,"Industry (extractive, manufacturing, energy and waste management)",Construction,"Wholesale, transportation, accomodation and food service activities",Information and communication,Financial and insurance activities,Specialized activities and support service activities,Administrative and support service activities,Other activities
2nd quarter 2020,443259,37362,48106,100073,20140,51097,70263,94627,21589
1st quarter 2020,444300,37630,47767,101528,20201,51090,71651,92970,21465
4th quarter 2019,442941,37633,47485,101879,20073,50789,71808,91857,21418
3rd quarter 2019,436995,37435,46670,100494,19725,50404,71092,90088,21087
2nd quarter 2019,437594,37489,46605,100584,19710,50377,72118,89632,21080
1st quarter 2019,431886,37340,46041,98539,19552,49817,71044,88708,20846
4th quarter 2018,427401,37223,45732,98034,19410,49269,69128,87900,20706
3rd quarter 2018,421551,37137,45059,96509,19098,48642,68544,86137,20426
2nd quarter 2018,421878,37229,44926,96629,18987,48349,69334,85954,20471
1st quarter 2018,416406,37097,44214,95137,18812,47840,67338,85643,20326
4th quarter 2017,412592,36823,44116,95379,18619,47129,65972,84354,20199
3rd quarter 2017,406372,36618,43530,93818,18197,46759,64827,82754,19870
2nd quarter 2017,406179,36492,43490,93651,17958,46783,65232,82720,19852
1st quarter 2017,400392,36345,42736,92186,17673,46466,63455,81983,19549
4th quarter 2016,397947,36636,42863,92425,17365,46056,61902,81130,19570
3rd quarter 2016,392872,36488,42313,91246,16973,45701,61053,79854,19243
2nd quarter 2016,392304,36304,42098,91225,16886,45421,61092,79941,19336
1st quarter 2016,387274,36131,41372,89835,16691,45103,59498,79505,19139
4th quarter 2015,385347,36192,41195,90557,16458,44898,57756,79219,19074
3rd quarter 2015,381390,35998,40824,89571,16236,44549,57002,78303,18909
2nd quarter 2015,381086,35875,40744,89401,16240,44270,57092,78474,18990
1st quarter 2015,376188,35565,40139,88153,16172,43908,55334,78114,18804
4th quarter 2014,375023,35652,40454,88969,15937,43574,54366,77346,18723
3rd quarter 2014,371823,35579,40188,88271,15714,43482,53949,76213,18426
2nd quarter 2014,371653,35494,40159,88519,15301,43494,53845,76322,18520
1st quarter 2014,367454,35393,39494,87211,15130,43245,53035,75671,18275
4th quarter 2013,365580,35889,39608,87319,15260,42693,52019,74682,18109
3rd quarter 2013,362659,35777,39515,86756,14988,42306,51927,73527,17863
2nd quarter 2013,362645,35790,39593,86622,14927,42225,52049,73522,17917
1st quarter 2013,358561,35927,39063,85233,14876,42040,50389,73319,17713
4th quarter 2012,358792,36311,39630,85751,14741,42172,50188,72307,17691
3rd quarter 2012,356275,36478,39536,85127,14627,42145,50036,70873,17453
2nd quarter 2012,356397,36633,39625,85184,14688,42119,50046,70618,17485
1st quarter 2012,352346,36783,39026,84062,14610,41844,48854,69915,17252
4th quarter 2011,350826,37336,39324,84059,14581,41558,47925,68910,17134
3rd quarter 2011,348715,37255,39248,83321,14450,41398,48598,67577,16870
2nd quarter 2011,347779,36852,39096,82993,14410,41261,48763,67505,16900
1st quarter 2011,342333,36503,38333,81428,14131,41039,47305,66832,16762
4th quarter 2010,340619,36937,38528,81301,13970,41013,46665,65615,16588
3rd quarter 2010,338177,36781,38227,80473,13691,40852,47369,64493,16292
2nd quarter 2010,337345,36665,38205,80035,13571,40847,47190,64495,16338
1st quarter 2010,333485,36521,37746,78893,13423,40919,45632,64232,16120
4th quarter 2009,332617,36525,38102,78713,13263,40961,44861,64008,16185
3rd quarter 2009,330746,36548,37956,78681,13265,41057,45161,62245,15832
2nd quarter 2009,331453,36921,37930,78774,13358,41240,45049,62326,15855
1st quarter 2009,330702,37545,37725,78426,13338,41573,44891,61481,15723
4th quarter 2008,332076,38090,38519,78892,13385,41858,45258,60641,15433
3rd quarter 2008,329998,37868,38262,78200,13178,41584,46284,59460,15163
2nd quarter 2008,327389,37719,38115,77656,13015,41054,45215,59320,15294
1st quarter 2008,322781,37516,37569,76278,12834,40458,44294,58927,14906
4th quarter 2007,318925,37632,37525,75647,12632,39815,42877,58028,14768
3rd quarter 2007,314370,37358,36958,74724,12357,38840,42500,57153,14479
2nd quarter 2007,443259,37362,48106,100073,20140,51097,70263,94627,21589
1st quarter 2007,444300,37630,47767,101528,20201,51090,71651,92970,21465
4th quarter 2006,442941,37633,47485,101879,20073,50789,71808,91857,21418
3rd quarter 2006,436995,37435,46670,100494,19725,50404,71092,90088,21087
2nd quarter 2006,437594,37489,46605,100584,19710,50377,72118,89632,21080
1st quarter 2006,431886,37340,46041,98539,19552,49817,71044,88708,20846
4th quarter 2005,427401,37223,45732,98034,19410,49269,69128,87900,20706
3rd quarter 2005,421551,37137,45059,96509,19098,48642,68544,86137,20426
2nd quarter 2005,421878,37229,44926,96629,18987,48349,69334,85954,20471
1st quarter 2005,416406,37097,44214,95137,18812,47840,67338,85643,20326
4th quarter 2004,412592,36823,44116,95379,18619,47129,65972,84354,20199
3rd quarter 2004,406372,36618,43530,93818,18197,46759,64827,82754,19870
2nd quarter 2004,406179,36492,43490,93651,17958,46783,65232,82720,19852
1st quarter 2004,400392,36345,42736,92186,17673,46466,63455,81983,19549
4th quarter 2003,397947,36636,42863,92425,17365,46056,61902,81130,19570
3rd quarter 2003,392872,36488,42313,91246,16973,45701,61053,79854,19243
2nd quarter 2003,392304,36304,42098,91225,16886,45421,61092,79941,19336
1st quarter 2003,387274,36131,41372,89835,16691,45103,59498,79505,19139
4th quarter 2002,385347,36192,41195,90557,16458,44898,57756,79219,19074
3rd quarter 2002,381390,35998,40824,89571,16236,44549,57002,78303,18909
2nd quarter 2002,381086,35875,40744,89401,16240,44270,57092,78474,18990
1st quarter 2002,376188,35565,40139,88153,16172,43908,55334,78114,18804
4th quarter 2001,375023,35652,40454,88969,15937,43574,54366,77346,18723
3rd quarter 2001,371823,35579,40188,88271,15714,43482,53949,76213,18426
2nd quarter 2001,371653,35494,40159,88519,15301,43494,53845,76322,18520
1st quarter 2001,367454,35393,39494,87211,15130,43245,53035,75671,18275
4th quarter 2000,365580,35889,39608,87319,15260,42693,52019,74682,18109
3rd quarter 2000,362659,35777,39515,86756,14988,42306,51927,73527,17863
2nd quarter 2000,362645,35790,39593,86622,14927,42225,52049,73522,17917
1st quarter 2000,358561,35927,39063,85233,14876,42040,50389,73319,17713
4th quarter 1999,358792,36311,39630,85751,14741,42172,50188,72307,17691
3rd quarter 1999,356275,36478,39536,85127,14627,42145,50036,70873,17453
2nd quarter 1999,356397,36633,39625,85184,14688,42119,50046,70618,17485
1st quarter 1999,352346,36783,39026,84062,14610,41844,48854,69915,17252
4th quarter 1998,350826,37336,39324,84059,14581,41558,47925,68910,17134
3rd quarter 1998,348715,37255,39248,83321,14450,41398,48598,67577,16870
2nd quarter 1998,347779,36852,39096,82993,14410,41261,48763,67505,16900
1st quarter 1998,342333,36503,38333,81428,14131,41039,47305,66832,16762
4th quarter 1997,340619,36937,38528,81301,13970,41013,46665,65615,16588
3rd quarter 1997,338177,36781,38227,80473,13691,40852,47369,64493,16292
2nd quarter 1997,337345,36665,38205,80035,13571,40847,47190,64495,16338
1st quarter 1997,333485,36521,37746,78893,13423,40919,45632,64232,16120
4th quarter 1996,332617,36525,38102,78713,13263,40961,44861,64008,16185
3rd quarter 1996,330746,36548,37956,78681,13265,41057,45161,62245,15832
2nd quarter 1996,331453,36921,37930,78774,13358,41240,45049,62326,15855
1st quarter 1996,330702,37545,37725,78426,13338,41573,44891,61481,15723
4th quarter 1995,332076,38090,38519,78892,13385,41858,45258,60641,15433
3rd quarter 1995,329998,37868,38262,78200,13178,41584,46284,59460,15163
2nd quarter 1995,327389,37719,38115,77656,13015,41054,45215,59320,15294
1st quarter 1995,322781,37516,37569,76278,12834,40458,44294,58927,14906
